sample,frac,seed,method,P,R,F1,F1_oracle
PU-genus3,0.05,7,Calibrated,1.0,0.85,0.9189189189189189,0.9340314136125655
PU-genus3,0.05,7,SOR,1.0,0.686,0.8137603795966786,0.9361256544502617
PU-genus3,0.05,7,LOF,1.0,0.534,0.6962190352020861,0.8795811518324608
PU-genus3,0.05,19,Calibrated,1.0,0.842,0.9142236699239956,0.9277486910994764
PU-genus3,0.05,19,SOR,1.0,0.658,0.7937273823884199,0.9319371727748691
PU-genus3,0.05,19,LOF,1.0,0.506,0.6719787516600265,0.8816753926701572
PU-genus3,0.05,101,Calibrated,1.0,0.884,0.9384288747346072,0.9507853403141362
PU-genus3,0.05,101,SOR,1.0,0.702,0.8249118683901292,0.9486910994764397
PU-genus3,0.05,101,LOF,1.0,0.544,0.7046632124352332,0.8900523560209425
PU-genus3,0.15,7,Calibrated,1.0,0.74,0.8505747126436781,0.9220598469032706
PU-genus3,0.15,7,SOR,1.0,0.608,0.7562189054726367,0.940848990953375
PU-genus3,0.15,7,LOF,1.0,0.3566666666666667,0.5257985257985258,0.833893243747667
PU-genus3,0.15,19,Calibrated,1.0,0.696,0.820754716981132,0.9262352122477383
PU-genus3,0.15,19,SOR,1.0,0.6193333333333333,0.7649238369699465,0.9443284620737648
PU-genus3,0.15,19,LOF,1.0,0.32066666666666666,0.4856133266027259,0.8249346771183278
PU-genus3,0.15,101,Calibrated,1.0,0.7393333333333333,0.8501341510157149,0.9366736256089073
PU-genus3,0.15,101,SOR,1.0,0.6313333333333333,0.7740089906007356,0.9457202505219208
PU-genus3,0.15,101,LOF,1.0,0.3473333333333333,0.5155863433943593,0.8280402788536019
PU-horse,0.05,7,Calibrated,1.0,0.828,0.9059080962800875,0.944502617801047
PU-horse,0.05,7,SOR,1.0,0.756,0.8610478359908884,0.9486910994764397
PU-horse,0.05,7,LOF,1.0,0.618,0.7639060568603214,0.856544502617801
PU-horse,0.05,19,Calibrated,1.0,0.832,0.9082969432314411,0.9382198952879582
PU-horse,0.05,19,SOR,1.0,0.756,0.8610478359908884,0.9507853403141362
PU-horse,0.05,19,LOF,1.0,0.652,0.7893462469733655,0.869109947643979
PU-horse,0.05,101,Calibrated,1.0,0.834,0.9094874591057797,0.9424083769633509
PU-horse,0.05,101,SOR,1.0,0.784,0.8789237668161435,0.9528795811518325
PU-horse,0.05,101,LOF,1.0,0.676,0.8066825775656324,0.9005235602094239
PU-horse,0.15,7,Calibrated,1.0,0.6013333333333334,0.7510407993338886,0.9297146833681281
PU-horse,0.15,7,SOR,1.0,0.6786666666666666,0.8085782366957903,0.9491997216423104
PU-horse,0.15,7,LOF,1.0,0.36933333333333335,0.5394352482960079,0.7629682997118156
PU-horse,0.15,19,Calibrated,1.0,0.598,0.7484355444305382,0.9255393180236604
PU-horse,0.15,19,SOR,1.0,0.7006666666666667,0.8239905919247353,0.9554627696590118
PU-horse,0.15,19,LOF,1.0,0.37466666666666665,0.5451018428709989,0.7425191370911621
PU-horse,0.15,101,Calibrated,1.0,0.5886666666666667,0.741082668904742,0.9276270006958942
PU-horse,0.15,101,SOR,1.0,0.69,0.8165680473372781,0.954070981210856
PU-horse,0.15,101,LOF,1.0,0.38266666666666665,0.553519768563163,0.7536023054755042
PU-kitten,0.05,7,Calibrated,1.0,0.87,0.9304812834224598,0.9361256544502617
PU-kitten,0.05,7,SOR,1.0,0.708,0.82903981264637,0.944502617801047
PU-kitten,0.05,7,LOF,1.0,0.758,0.8623435722411832,0.9403141361256545
PU-kitten,0.05,19,Calibrated,1.0,0.832,0.9082969432314411,0.9256544502617801
PU-kitten,0.05,19,SOR,1.0,0.662,0.7966305655836342,0.9256544502617801
PU-kitten,0.05,19,LOF,1.0,0.722,0.8385598141695703,0.9151832460732984
PU-kitten,0.05,101,Calibrated,1.0,0.86,0.924731182795699,0.9382198952879582
PU-kitten,0.05,101,SOR,1.0,0.706,0.8276670574443141,0.944502617801047
PU-kitten,0.05,101,LOF,1.0,0.736,0.847926267281106,0.9382198952879582
PU-kitten,0.15,7,Calibrated,1.0,0.7006666666666667,0.8239905919247353,0.9199721642310368
PU-kitten,0.15,7,SOR,1.0,0.61,0.7577639751552795,0.9387613082811412
PU-kitten,0.15,7,LOF,1.0,0.43733333333333335,0.6085343228200372,0.8969740634005764
PU-kitten,0.15,19,Calibrated,1.0,0.6706666666666666,0.8028731045490822,0.9063400576368876
PU-kitten,0.15,19,SOR,1.0,0.5826666666666667,0.7363100252737995,0.9283228949199722
