shape,sigma,noise,seed,method,overall,near,smooth,time
ridge90,0.5,gauss,7,Prior-v1,13.084601628981197,10.748514548288357,13.196371635090598,4.821530342102051
ridge90,0.5,gauss,7,Prior-v2,46.455069212745435,30.269700446417847,47.34144732237541,4.7490363121032715
ridge90,0.5,gauss,19,Bilateral,14.185800410448579,11.363004565513023,14.34363691228695,0.7119128704071045
ridge90,0.5,gauss,19,MLS,35.81031866048934,28.44528019077658,36.23975670130155,0.5456759929656982
ridge90,0.5,gauss,19,GLR,46.87959810171415,35.33651412606281,47.58764833827115,0.615297794342041
ridge90,0.5,gauss,19,Prior-v1,13.059811286234124,10.21363144234918,13.218942296875191,4.8022894859313965
ridge90,0.5,gauss,19,Prior-v2,45.801907687977625,30.713239446358298,46.754988340816375,4.840312242507935
ridge90,0.5,gauss,101,Bilateral,14.149862997479644,11.997258711908731,14.254247972509793,0.7305071353912354
ridge90,0.5,gauss,101,MLS,35.6825535001242,28.09587486220805,36.06824644516203,0.577721357345581
ridge90,0.5,gauss,101,GLR,46.55327099359282,33.33710470480702,47.26883416044723,0.6436035633087158
ridge90,0.5,gauss,101,Prior-v1,12.933910483284905,10.734593361365107,13.040570978627485,4.818539381027222
ridge90,0.5,gauss,101,Prior-v2,47.77934876935145,33.49081214797521,48.56267685584504,4.7321457862854
ridge90,1.0,gauss,7,Bilateral,7.707236498372627,6.877650723972706,7.744209396460744,0.7109127044677734
ridge90,1.0,gauss,7,MLS,22.11955440833313,19.190681119035602,22.2520338009353,0.5681233406066895
ridge90,1.0,gauss,7,GLR,31.054155456536403,26.320333531474727,31.27169812552203,0.6241538524627686
ridge90,1.0,gauss,7,Prior-v1,6.012553765140282,4.954091338008871,6.059782997789343,4.557769775390625
ridge90,1.0,gauss,7,Prior-v2,38.17028371207491,32.98154931158955,38.410578799946826,4.5373616218566895
ridge90,1.0,gauss,19,Bilateral,7.6059158412871035,5.749404915829981,7.707019286187878,0.7147150039672852
ridge90,1.0,gauss,19,MLS,21.918616956064984,16.840677488906273,22.20166614232515,0.5702426433563232
ridge90,1.0,gauss,19,GLR,30.76276294920568,23.122081144488405,31.19859182517675,0.6179120540618896
ridge90,1.0,gauss,19,Prior-v1,5.9998373928565,3.8766696598290906,6.115613337282522,4.6166791915893555
