regime,scene,tag,method,n,raw_rmse_cm,dRMSE,dMAE,disp_med_mm,disp_p95_mm,disp_med_sig,disp_med_ell,sigma_g_mm,ell_mm
iphone-frame,cc5237fd77,frame_006410.jpg,Prior-v2,12288,12.682994277181036,6.829757801529723e-05,-0.0006431953231578191,0.0006557979549707832,0.25217219529062274,0.0009405001009545605,5.024455612887562e-05,0.6972864259819654,13.052119581640618
iphone-frame,cc5237fd77,frame_006990.jpg,Bilateral,12288,8.589693812373168,-0.004896459420167254,-0.006562148254007916,0.1759316859016358,1.582757849865615,0.34700679660816974,0.01960436282175076,0.5069978089025331,8.974108849221956
iphone-frame,cc5237fd77,frame_006990.jpg,MLS,12288,8.589693812373168,-0.017098867871601087,-0.023922064562342804,0.38694191837117287,4.289441299210957,0.7632023468613401,0.043117586919129314,0.5069978089025331,8.974108849221956
iphone-frame,cc5237fd77,frame_006990.jpg,GLR,12288,8.589693812373168,-0.03779904728289374,-0.04943578387535119,0.5204015577884757,5.975451373927163,1.0264374867586104,0.057989218369643984,0.5069978089025331,8.974108849221956
iphone-frame,cc5237fd77,frame_006990.jpg,Prior-v2,12288,8.589693812373168,0.0017630602423657216,0.0012212959378143928,0.004115710357304724,0.19981539796556544,0.008117806974542832,0.00045862050772906883,0.5069978089025331,8.974108849221956
iphone-frame,cc5237fd77,frame_007760.jpg,Bilateral,12288,1.9654462353352942,-0.0026338718675633643,-0.02689774351978258,0.13990117151733442,1.0772960250276615,0.3351150106474519,0.02538354483004228,0.4174721117741825,5.5114907089877025
iphone-frame,cc5237fd77,frame_007760.jpg,MLS,12288,1.9654462353352942,-0.09025223103258373,-0.16482246124089883,0.30720345177626485,2.742440660508235,0.7358658036697083,0.05573872259633189,0.4174721117741825,5.5114907089877025
iphone-frame,cc5237fd77,frame_007760.jpg,GLR,12288,1.9654462353352942,-0.2113809247468179,-0.3358895271388329,0.39486758382075693,4.006079826123354,0.9458537989442837,0.07164442518340704,0.4174721117741825,5.5114907089877025
iphone-frame,cc5237fd77,frame_007760.jpg,Prior-v2,12288,1.9654462353352942,0.005878191439845359,0.0050508647372771165,0.004735738048395605,0.24615961547591544,0.011343842866355109,0.0008592481231645171,0.4174721117741825,5.5114907089877025
laser,f9f95681fd,crop,Bilateral,10000,0.4318085945021203,-1.9546159859696877,-3.3865206676693793,0.34432593358776603,3.695838330966599,0.7164897480269894,0.018971912933400937,0.48057342595543445,18.149246983027858
laser,f9f95681fd,crop,MLS,10000,0.4318085945021203,-21.004861950805488,-22.151409017322376,0.8709871937033461,9.177063589199273,1.8123914990915972,0.04799026617852815,0.48057342595543445,18.149246983027858
laser,f9f95681fd,crop,GLR,10000,0.4318085945021203,-40.013756210368044,-37.66946458514491,1.305502316748659,13.622934289216936,2.7165511938922156,0.07193148662848431,0.48057342595543445,18.149246983027858
laser,f9f95681fd,crop,Prior-v2,10000,0.4318085945021203,0.012029898328991262,0.020719455050877134,1.2499553837446321e-05,0.03169857489594263,2.600966498841696e-05,6.887092257021178e-07,0.48057342595543445,18.149246983027858
iphone-fused,f9f95681fd,crop,Bilateral,10000,12.609716856650463,0.07964294239247716,0.363290313090614,1.4485736415449009,3.379000522167566,0.22304845527048944,0.08636853118597164,6.494434761115813,16.77200736851035
iphone-fused,f9f95681fd,crop,MLS,10000,12.609716856650463,0.17751506874751355,0.6862120500019775,4.291708811854552,8.247586748638767,0.6608286893402193,0.2558852209698168,6.494434761115813,16.77200736851035
iphone-fused,f9f95681fd,crop,GLR,10000,12.609716856650463,0.2261880916054282,0.7904273754092861,5.2449439434386,12.017071180421498,0.8076059173053971,0.31272010725283406,6.494434761115813,16.77200736851035
iphone-fused,f9f95681fd,crop,Prior-v2,10000,12.609716856650463,-0.0029182146652262375,0.21193617010951682,0.6150410087491438,5.228200716683591,0.09470277726660394,0.03667068557739964,6.494434761115813,16.77200736851035
iphone-frame,f9f95681fd,frame_000000.jpg,Bilateral,12288,15.519071417487954,0.008917999894997308,0.03851186455533506,0.22461519003948144,1.6395864378103204,0.42417677294571055,0.02617793226605072,0.5295320346172105,8.580325891690055
iphone-frame,f9f95681fd,frame_000000.jpg,MLS,12288,15.519071417487954,0.025191977342187144,0.10481178328797247,0.5283214342257045,4.2480253953765255,0.9977138278516143,0.061573585995819115,0.5295320346172105,8.580325891690055
iphone-frame,f9f95681fd,frame_000000.jpg,GLR,12288,15.519071417487954,0.03708648921481039,0.1498309452154678,0.7358156852099356,5.997894900197481,1.3895583944270444,0.08575614660939723,0.5295320346172105,8.580325891690055
iphone-frame,f9f95681fd,frame_000000.jpg,Prior-v2,12288,15.519071417487954,5.2733844391195106e-05,0.00018127014722590928,0.0003478204092700867,0.22424428581496908,0.0006568448854367708,4.053696953007458e-05,0.5295320346172105,8.580325891690055
iphone-frame,f9f95681fd,frame_000720.jpg,Bilateral,12288,21.60210124223489,0.006769607336465366,0.0176589752671652,0.14463177270887229,1.2670860175034002,0.3631826772120672,0.020517502077490406,0.398234225971183,7.049190108138415
iphone-frame,f9f95681fd,frame_000720.jpg,MLS,12288,21.60210124223489,0.018396402387732547,0.04056407494522629,0.3157842435418715,3.425310359865631,0.7929610820837915,0.04479723750569526,0.398234225971183,7.049190108138415
iphone-frame,f9f95681fd,frame_000720.jpg,GLR,12288,21.60210124223489,0.027583012131326967,0.05556447060248715,0.4013807780039383,4.8171544326231714,1.007901257148806,0.05693998484784756,0.398234225971183,7.049190108138415
iphone-frame,f9f95681fd,frame_000720.jpg,Prior-v2,12288,21.60210124223489,-1.85194978241654e-05,-0.0001074166477987859,0.0016509459389876444,0.17325966417355626,0.00414566560876524,0.0002342036338114068,0.398234225971183,7.049190108138415
iphone-frame,f9f95681fd,frame_001440.jpg,Bilateral,12288,9.214530320474685,0.02321479744638033,0.03437060738702424,0.186088224875136,1.0030245079689086,0.380216441056502,0.036807611063505774,0.48942708520925304,5.0556996083571475
iphone-frame,f9f95681fd,frame_001440.jpg,MLS,12288,9.214530320474685,0.0640178104066691,0.09562780107247315,0.43641998868869747,2.4983360645540458,0.891695619196089,0.08632237324404447,0.48942708520925304,5.0556996083571475
iphone-frame,f9f95681fd,frame_001440.jpg,GLR,12288,9.214530320474685,0.09687205858313064,0.13902824590298346,0.5934228067641883,3.7078309970204963,1.2124846039078276,0.11737699084531734,0.48942708520925304,5.0556996083571475
iphone-frame,f9f95681fd,frame_001440.jpg,Prior-v2,12288,9.214530320474685,-0.0007853105304267416,-0.0013093133231611986,0.0013586237985902072,0.26373961836584753,0.0027759473001650174,0.0002687311160804828,0.48942708520925304,5.0556996083571475
iphone-frame,f9f95681fd,frame_002230.jpg,Bilateral,12288,3.7935374247736333,0.0486160721046458,0.07946869802399892,0.13350591731614084,0.7518023599269871,0.33560963877829025,0.034036202991726716,0.3978011998300431,3.922468006039226
